geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Birmingham,driving,NA,Alabama,United States,2020-05-11,NA
city,Birmingham,driving,NA,Alabama,United States,2020-05-12,NA
city,Birmingham,driving,NA,Alabama,United States,2020-05-13,102.76
city,Birmingham,driving,NA,Alabama,United States,2020-05-14,107.9
city,Birmingham,driving,NA,Alabama,United States,2020-05-15,118.7
city,Birmingham,driving,NA,Alabama,United States,2020-05-16,108.18
city,Birmingham,driving,NA,Alabama,United States,2020-05-17,77.52
city,Birmingham,driving,NA,Alabama,United States,2020-05-18,103.39
city,Birmingham,driving,NA,Alabama,United States,2020-05-19,111.12
city,Birmingham,driving,NA,Alabama,United States,2020-05-20,113.82
city,Birmingham,driving,NA,Alabama,United States,2020-05-21,120.42
city,Birmingham,driving,NA,Alabama,United States,2020-05-22,126.54
city,Birmingham,driving,NA,Alabama,United States,2020-05-23,108.93
city,Birmingham,driving,NA,Alabama,United States,2020-05-24,82.12
city,Birmingham,driving,NA,Alabama,United States,2020-05-25,83.84
city,Birmingham,driving,NA,Alabama,United States,2020-05-26,102.8
city,Birmingham,driving,NA,Alabama,United States,2020-05-27,108.45
city,Birmingham,driving,NA,Alabama,United States,2020-05-28,125.28
city,Birmingham,driving,NA,Alabama,United States,2020-05-29,132.1
city,Birmingham,driving,NA,Alabama,United States,2020-05-30,125.73
city,Birmingham,driving,NA,Alabama,United States,2020-05-31,96.71
city,Birmingham,driving,NA,Alabama,United States,2020-06-01,104.97
city,Birmingham,driving,NA,Alabama,United States,2020-06-02,106.81
city,Birmingham,driving,NA,Alabama,United States,2020-06-03,109.99
city,Birmingham,driving,NA,Alabama,United States,2020-06-04,115.16
city,Birmingham,driving,NA,Alabama,United States,2020-06-05,127.98
city,Birmingham,driving,NA,Alabama,United States,2020-06-06,125.97
city,Birmingham,driving,NA,Alabama,United States,2020-06-07,91.42
city,Birmingham,driving,NA,Alabama,United States,2020-06-08,107.65
city,Birmingham,driving,NA,Alabama,United States,2020-06-09,112.46
city,Birmingham,driving,NA,Alabama,United States,2020-06-10,124.38
city,Birmingham,driving,NA,Alabama,United States,2020-06-11,129.61
city,Birmingham,driving,NA,Alabama,United States,2020-06-12,142.86
city,Birmingham,driving,NA,Alabama,United States,2020-06-13,139.7
city,Birmingham,driving,NA,Alabama,United States,2020-06-14,102.18
city,Birmingham,driving,NA,Alabama,United States,2020-06-15,122.69
city,Birmingham,driving,NA,Alabama,United States,2020-06-16,125.84
city,Birmingham,driving,NA,Alabama,United States,2020-06-17,128.61
city,Birmingham,driving,NA,Alabama,United States,2020-06-18,133.27
city,Birmingham,driving,NA,Alabama,United States,2020-06-19,159.62
city,Birmingham,driving,NA,Alabama,United States,2020-06-20,161.1
city,Birmingham,driving,NA,Alabama,United States,2020-06-21,100.06
city,Birmingham,driving,NA,Alabama,United States,2020-06-22,121.07
city,Birmingham,driving,NA,Alabama,United States,2020-06-23,124.24
city,Birmingham,driving,NA,Alabama,United States,2020-06-24,131.4
city,Birmingham,driving,NA,Alabama,United States,2020-06-25,134.7
city,Birmingham,driving,NA,Alabama,United States,2020-06-26,153.16
city,Birmingham,driving,NA,Alabama,United States,2020-06-27,154.47
city,Birmingham,driving,NA,Alabama,United States,2020-06-28,110.87
city,Birmingham,driving,NA,Alabama,United States,2020-06-29,124.5
city,Birmingham,driving,NA,Alabama,United States,2020-06-30,128.08
city,Birmingham,driving,NA,Alabama,United States,2020-07-01,125.73
